Commodity,Date,Unit,Min Price,Max Price,Avg Price,Year,Month,DayOfWeek,Price Range
Cabbage(Local),2021-01-11,Kg,20,25,22.5,2021,1,Monday,5
Cabbage(Terai),2021-01-11,Kg,15,20,17.5,2021,1,Monday,5
Cabbage,2021-01-11,Kg,20,25,22.5,2021,1,Monday,5
Cauli Local,2021-01-11,Kg,15,20,17.5,2021,1,Monday,5
Cauli Local(Jyapu),2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
Raddish Red,2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
Raddish White(Local),2021-01-11,Kg,15,20,17.5,2021,1,Monday,5
Raddish White(Hybrid),2021-01-11,Kg,15,20,17.5,2021,1,Monday,5
Brinjal Long,2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
Brinjal Round,2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
Green Peas,2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
French Bean(Local),2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
French Bean(Hybrid),2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
Sword Bean,2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
Bitter Gourd,2021-01-11,Kg,110,120,115.0,2021,1,Monday,10
Bottle Gourd,2021-01-11,Kg,45,50,47.5,2021,1,Monday,5
Pointed Gourd(Local),2021-01-11,Kg,130,140,135.0,2021,1,Monday,10
Pumpkin,2021-01-11,Kg,25,30,27.5,2021,1,Monday,5
Squash(Long),2021-01-11,Kg,20,25,22.5,2021,1,Monday,5
Squash(Round),2021-01-11,Kg,25,30,27.5,2021,1,Monday,5
Turnip,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Okara,2021-01-11,Kg,75,80,77.5,2021,1,Monday,5
Sweet Potato,2021-01-11,Kg,70,75,72.5,2021,1,Monday,5
Barela,2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
Arum,2021-01-11,Kg,45,50,47.5,2021,1,Monday,5
Christophine,2021-01-11,Kg,15,20,17.5,2021,1,Monday,5
Brd Leaf Mustard,2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
Spinach Leaf,2021-01-11,Kg,60,70,65.0,2021,1,Monday,10
Cress Leaf,2021-01-11,Kg,90,100,95.0,2021,1,Monday,10
Mustard Leaf,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Fenugreek Leaf,2021-01-11,Kg,70,80,75.0,2021,1,Monday,10
Onion Green,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Bakula,2021-01-11,Kg,100,110,105.0,2021,1,Monday,10
Yam,2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Mushroom(Kanya),2021-01-11,Kg,90,100,95.0,2021,1,Monday,10
Mushroom(Button),2021-01-11,KG,240,250,245.0,2021,1,Monday,10
Brocauli,2021-01-11,Kg,30,35,32.5,2021,1,Monday,5
